Club,Elo,Country
Ferencváros,1460,HUN
Крылья Советов,1460,RUS
Steaua,1457,ROM
Huddersfield,1456,ENG
Standard,1456,BEL
Tromsø,1454,NOR
Sheriff,1453,MOL
Antalyaspor,1453,TUR
Jagiellonia,1452,POL
Grenoble,1451,FRA
Bordeaux,1449,FRA
Brann,1449,NOR
Elfsborg,1448,SWE
Gil Vicente,1447,POR
Терек,1447,RUS
Cittadella,1444,ITA
Austria Wien,1444,AUT
Stoke,1444,ENG
Blackburn,1443,ENG
Malmö,1443,SWE
Bari,1443,ITA
Lugano,1441,SUI
Troyes,1441,FRA
Spezia,1441,ITA
Odense,1440,DEN
Aris Limassol,1439,CYP
Guingamp,1438,FRA
ΑΠΟΕΛ,1438,CYP
Ομόνοια,1438,CYP
Suedtirol,1437,ITA
Brescia,1437,ITA
ЦСКА София,1437,BUL
Saint-Étienne,1436,FRA
Sigma Olomouc,1436,CZE
Pisa,1435,ITA
Paris FC,1434,FRA
Magdeburg,1432,GER
Śląsk,1432,POL
Randers,1431,DEN
Caen,1431,FRA
Zwolle,1431,NED
Nürnberg,1430,GER
Kasımpaşa,1430,TUR
Modena,1430,ITA
Basel,1429,SUI
Farense,1429,POR
Birmingham,1429,ENG
Rijeka,1429,CRO
Heerenveen,1427,NED
Fatih Karagümrük,1427,TUR
Villarreal B,1427,ESP
Luzern,1427,SUI
Boavista,1425,POR
Banik Ostrava,1425,CZE
Ajaccio,1424,FRA
Alcorcon,1423,ESP
Sivasspor,1422,TUR
Sochaux,1422,FRA
Konyaspor,1421,TUR
Άρης,1420,GRE
Viking,1419,NOR
Hearts,1416,SCO
Рубин,1416,RUS
Rio Ave,1415,POR
Оренбург,1414,RUS
Ankaragücü,1413,TUR
Ascoli,1412,ITA
CFR Cluj,1409,ROM
Hartberg,1409,AUT
QPR,1409,ENG
Catanzaro,1409,ITA
Дніпро,1409,UKR
Wolfsberg,1408,AUT
Pau,1407,FRA
Bastia,1407,FRA
Nizhny Novgorod,1407,RUS
Reggiana,1407,ITA
Grasshoppers,1406,SUI
Häcken,1406,SWE
Estoril,1406,POR
Wehen,1405,GER
Cosenza,1404,ITA
Elversberg,1403,GER
Rodez,1403,FRA
Partizan,1403,SRB
Rosenborg,1402,NOR
Górnik,1402,POL
Casa Pia,1401,POR
Klagenfurt,1400,AUT
Laval,1398,FRA
Alanyaspor,1397,TUR
Lautern,1397,GER
Урал,1396,RUS
Almere,1394,NED
Lyngby,1393,DEN
Заря,1393,UKR
Факел Воронеж,1393,RUS
Mladá Boleslav,1393,CZE
Amiens,1393,FRA
Djurgården,1393,SWE
Kayseri,1392,TUR
Hammarby,1392,SWE
Estrela Amadora,1390,POR
Chaves,1389,POR
Sittard,1387,NED
Rotherham,1386,ENG
Celje,1384,SVN
Ternana,1381,ITA
Со́чи,1381,RUS
Rostock,1380,GER
Excelsior,1380,NED
Portimonense,1379,POR
Slovan Liberec,1379,CZE
Sheffield Weds,1378,ENG
Vitesse,1378,NED
Левски,1378,BUL
Braunschweig,1378,GER
Bohemians Praha,1377,CZE
Slovan Bratislava,1377,SLK
Lillestrøm,1377,NOR
Sarpsborg,1377,NOR
Osijek,1375,CRO
Radomiak,1375,POL
Amorebieta,1375,ESP
US Quevilly,1374,FRA
הפועל חיפה,1374,ISR
Vizela,1373,POR
Rizespor,1372,TUR
Kortrijk,1372,BEL
Waalwijk,1372,NED
Rapid Bucuresti,1370,ROM
Trnava,1369,SLK
Cracovia,1368,POL
Heracles,1367,NED
Molenbeek,1366,BEL
Viitorul,1365,ROM
Feralpisalo,1365,ITA
Vejle,1365,DEN
Strømsgodset,1365,NOR
Eupen,1363,BEL
Lok Zagreb,1363,CRO
Zilina,1362,SLK
CSU Craiova,1359,ROM
Odd Grenland,1358,NOR
Annecy,1356,FRA
Paksi,1356,HUN
Samsunspor,1353,TUR
Черно море,1353,BUL
Warta,1353,POL
Stal Mielec,1353,POL
Pendikspor,1351,TUR
Sepsi,1349,ROM
Winterthur,1349,SUI
Aberdeen,1348,SCO
Zagłębie,1348,POL
Jablonec,1347,CZE
Neftçi,1347,AZE
Videoton,1347,HUN
נתניה,1345,ISR
Vålerenga,1345,NOR
Sabah,1344,AZE
Puskas Akademia,1344,HUN
AIK,1343,SWE
Hradec Králové,1343,CZE
Балтика,1342,RUS
Haugesund,1339,NOR
Korona,1337,POL
Астана,1336,KAZ
Concarneau,1335,FRA
Lecco,1334,ITA
Hatayspor,1333,TUR
Teplice,1331,CZE
Dunajska,1331,SLK
"בית""ר",1331,ISR
Hibernian,1331,SCO
IK Sirius,1330,SWE
Gaziantep FK,1330,TUR
Pardubice,1329,CZE
Olimpija Ljubljana,1329,SVN
Lausanne,1329,SUI
St Mirren,1328,SCO
CSKA 1948 Sofia,1328,BUL
Vaduz,1328,LIE
Osnabrück,1327,GER
בני סכנין,1325,ISR
BW Linz,1325,AUT
Polissya Zhytomyr,1324,UKR
Ворскла,1323,UKR
Yverdon Sport,1322,SUI
Кривбас,1322,UKR
İstanbulspor,1321,TUR
Backa Topola,1321,SRB
Hvidovre,1319,DEN
Wattens,1319,AUT
Mjällby,1318,SWE
Kalmar,1318,SWE
Valenciennes,1317,FRA
Varnamo,1317,SWE
הפועל תל-אביב,1316,ISR
Volendam,1316,NED
Debrecen,1314,HUN
Göteborg,1313,SWE
Kilmarnock,1312,SCO
Рух Львів,1311,UKR
Dunkerque,1310,FRA
HNK Gorica,1309,CRO
Maribor,1308,SVN
Norrköping,1306,SWE
Qəbələ,1305,AZE
Αστέρας,1305,GRE
Widzew,1304,POL
Altach,1304,AUT
Kuopio,1302,FIN
Puszcza Niepolomice,1299,POL
Tescoma Zlin,1299,CZE
אשדוד,1298,ISR
Motherwell,1298,SCO
Maccabi Bnei Raina,1296,ISR
Локомотив Пловдив,1295,BUL
Hermannstadt,1295,ROM
Sandefjord,1294,NOR
הפועל ירושלים,1294,ISR
Ατρόμητος,1291,GRE
Ham-Kam,1290,NOR
HJK Helsinki,1289,FIN
Slaven Belupo,1287,CRO
Zrinjski Mostar,1284,BHZ
FK Riga,1284,LAT
Kecskemét,1282,HUN
